feature,mean_abs_shap
Overall stage,6.623623848359143
Treatment received,6.21463994978451
N stage,5.174663817991325
Residual disease,4.400513456724212
Age,4.205368454450007
T stage,1.8895388100647752
Race,0.5553471737234047
Gender (Male),0.4789807330479046
Ethnicity,0.39383693368336925
M stage,0.3178459229985319
Prior malignancy,0.0
