covariate,HR,CI_low,CI_high,p
age,1.0299085616382344,1.0175067426491253,1.0424615394430956,1.8629126597422237e-06
male,0.964685490283064,0.7435257119576666,1.25162866622649,0.7866899419260341
Stage II,1.7161864814076508,0.9902236893448086,2.9743744475706873,0.054235678954389376
Stage III,3.1348132975889778,1.8525598695234422,5.304581283663788,2.068221682667231e-05
Stage IV,7.824875861550454,4.451077283519216,13.755924318677499,8.848272821968257e-13
colon_vs_stomach,0.3596915167860559,0.2739875390695147,0.4722039100290193,1.7915363109166062e-13
