stomach_train_n,stomach_only,with_colorectal_transfer
30,0.5,0.6765969201022028
60,0.6131827912436987,0.6796491954975487
90,0.6346661142186313,0.681403218009806
120,0.6504108832262966,0.6842759477936607
160,0.6619639527656932,0.6852979766590706
200,0.6620744423727644,0.684552171811339
255,0.6777639665768939,0.6810165043850562
