feature,mean_abs_shap
Overall stage,3.2919657553904615
N stage,2.830559615612081
Age,2.5315020868651064
M stage,2.099637451588604
Residual disease,1.305478677084148
T stage,0.9340771815144584
Treatment received,0.5893731885927734
Prior malignancy,0.2596206234353868
Race,0.20069769384899488
Ethnicity,0.12382254385838697
Gender (Male),0.1224571136598501
