covariate,HR,CI_low,CI_high,p
age,1.0346295346594043,1.0225533216351521,1.0468483660859653,1.3224259869578645e-08
male,0.9202858763913212,0.718426969219116,1.1788617779840538,0.510844757774142
Stage II,1.6620024957173274,0.9866903172675899,2.7995129246023636,0.056184921501608504
Stage III,3.106625745075083,1.8897876973257184,5.106988226042978,7.838370657838837e-06
Stage IV,7.876933821162795,4.642225142005295,13.365591828270603,1.9995622343880968e-14
colorectal_vs_stomach,0.32893983087218587,0.2554175565092102,0.42362558710924225,7.026924075926857e-18
