feature,mean_abs_shap
Age,1.0627381611158426
Overall stage,0.7972672221108699
N stage,0.6153874499364139
M stage,0.49386182129802153
Treatment received,0.37634473523462725
T stage,0.10423794772215844
Race,0.07408075741665275
Gender (Male),0.04856340209014949
Ethnicity,0.0341921624535422
Residual disease,0.009613308841187903
Prior malignancy,0.0
